1. ASSUMPTIONS
Parameter,Value,Notes
Average Project Value (EGP),120000,Conservative estimate for finishing a 100m2 apartment
Platform Commission Rate (%),2%,Deducted from the escrow payout
Premium Subscription (EGP/month),199,Monthly fee for premium professionals
Credit Pack Price (EGP for 50 credits),50,Used to submit bids (Blind Bidding)
Materials Marketplace Take-Rate (%),5%,Commission on material sales
Payment Gateway Fee (%),2.5%,Deducted from the platform revenues
AI Token Cost (USD per 1K Requests),0.5,Estimated input/output token cost per estimation (Claude Haiku)
AI Tokens Average EGP Cost per Request,0.025,0.5 USD * 50 EGP / 1000 = 0.025 EGP

2. REVENUES,Year 1 (2027),Year 2 (2028),Year 3 (2029),Year 4 (20210),Year 5 (20211),Year 6 (20212),Year 7 (20213),Year 8 (20214),Year 9 (20215),Year 10 (20216)
Commission (2%),0.0,288000.0,672000.0,1041600.0,1456800.0,1893600.0,2308800.0,2724000.0,3132000.0,3506400.0
Subscriptions (Premium),0,143280,382080,592224,828636,1076988,1313400,1549812,1781448,1993980
Credit Packs (Bidding),0,20000,50000,77500,108500,141000,172000,202000,232000,260000
Materials (5%),0,10000,25000,38750,54250,70500,86000,101000,116000,130000
Featured Listings,0,8000,22000,34100,47700,62000,75600,89200,102500,114800
Total Revenues,0.0,469280.0,1151080.0,1784174.0,2495886.0,3244088.0,3955800.0,4666012.0,5363948.0,6005180.0

3. OPERATIONAL COSTS,Year 1 (2027),Year 2 (2028),Year 3 (2029),Year 4 (20210),Year 5 (20211),Year 6 (20212),Year 7 (20213),Year 8 (20214),Year 9 (20215),Year 10 (20216)
Salaries & Stipends,48000,120000,280000,392000,509600,621712,733620,843663,944902,1039392
Marketing & Acquisition,36000,80000,170000,238000,309400,377468,445412,512224,573690,631059
Hosting & Infrastructure,0,12000,20000,28000,36400,44408,52401,60261,67492,74241
"Software & APIs (AI Tokens, SMS, Email)",15000,25000,45000,63000,81000,98000,115000,132000,149000,165000
Payment Gateway Fees (2.5%),0.0,11732.0,28777.0,44604.350000000006,62397.15,81102.20000000001,98895.0,116650.3,134098.7,150129.5
Admin & Misc,8000,12000,18000,25200,32760,39967,47161,54235,60743,66817
Total Operational Costs,107000.0,260732.0,561777.0,790804.35,1031557.15,1262657.2,1492489.0,1719033.3,1929925.7,2126638.5

4. CASH FLOW & ROI,Year 1 (2027),Year 2 (2028),Year 3 (2029),Year 4 (20210),Year 5 (20211),Year 6 (20212),Year 7 (20213),Year 8 (20214),Year 9 (20215),Year 10 (20216)
Total Revenues,0.0,469280.0,1151080.0,1784174.0,2495886.0,3244088.0,3955800.0,4666012.0,5363948.0,6005180.0
- Total Operational Costs,107000.0,260732.0,561777.0,790804.35,1031557.15,1262657.2,1492489.0,1719033.3,1929925.7,2126638.5
= Net Profit,-107000.0,208548.0,589303.0,993369.65,1464328.85,1981430.8,2463311.0,2946978.7,3434022.3,3878541.5
Cumulative Cash Flow (Inc. 70K Inv.),-177000.0,31548.0,620851.0,1614220.65,3078549.5,5059980.3,7523291.3,10470270.0,13904292.3,17782833.8

Total 10-Year Net Profit:,17852833.8
Average Annual Net Profit:,1785283.3800000001
Return on Investment (ROI):,2550.40%
